Country,Year,Season,Bronze,Silver,Gold,Total points
GRE,1896,Summer,20,18,10,124
AUT,1896,Summer,2,1,2,15
GBR,1896,Summer,3,3,3,27
SUI,1896,Summer,0,2,1,11
DEN,1896,Summer,3,2,1,14
USA,1896,Summer,2,7,11,78
GER,1896,Summer,2,5,25,142
FRA,1896,Summer,2,4,5,39
AUS,1896,Summer,1,0,2,11
HUN,1896,Summer,3,1,2,16
ITA,1896,Summer,0,0,0,0
SWE,1896,Summer,0,0,0,0
DEN,1900,Summer,2,3,4,31
GER,1900,Summer,11,20,14,141
USA,1900,Summer,17,16,30,215
FRA,1900,Summer,82,101,52,645
AUT,1900,Summer,3,3,0,12
NOR,1900,Summer,3,6,0,21
GBR,1900,Summer,15,34,59,412
ITA,1900,Summer,0,2,3,21
BEL,1900,Summer,13,24,6,115
HUN,1900,Summer,2,2,1,13
SUI,1900,Summer,1,4,16,93
BOH,1900,Summer,2,1,0,5
NED,1900,Summer,16,8,3,55
SWE,1900,Summer,1,0,3,16
ARG,1900,Summer,0,0,0,0
ESP,1900,Summer,0,0,2,10
CUB,1900,Summer,0,1,1,8
HAI,1900,Summer,0,0,1,5
PER,1900,Summer,0,0,0,0
RUS,1900,Summer,0,0,0,0
MEX,1900,Summer,3,0,0,3
CAN,1900,Summer,1,0,1,6
BRA,1900,Summer,0,0,0,0
AUS,1900,Summer,3,0,3,18
IND,1900,Summer,0,2,0,6
NZL,1900,Summer,0,0,1,5
IRI,1900,Summer,0,0,0,0
GRE,1900,Summer,0,0,0,0
ROU,1900,Summer,0,0,0,0
COL,1900,Summer,0,1,0,3
LUX,1900,Summer,0,0,1,5
USA,1904,Summer,125,141,128,1188
CAN,1904,Summer,12,9,27,174
AUS,1904,Summer,1,3,0,10
AUT,1904,Summer,1,1,2,14
FRA,1904,Summer,0,2,0,6
ITA,1904,Summer,0,0,0,0
GER,1904,Summer,7,5,4,42
CUB,1904,Summer,0,0,5,25
HUN,1904,Summer,1,1,2,14
GRE,1904,Summer,1,0,1,6
NOR,1904,Summer,0,0,2,10
GBR,1904,Summer,0,1,1,8
NFL,1904,Summer,0,0,0,0
RSA,1904,Summer,0,0,0,0
SUI,1904,Summer,2,0,1,7
GRE,1906,Summer,30,48,24,294
GER,1906,Summer,6,10,14,106
GBR,1906,Summer,8,22,9,119
FIN,1906,Summer,1,1,2,14
ITA,1906,Summer,27,8,21,156
DEN,1906,Summer,1,19,14,128
AUT,1906,Summer,3,3,3,27
NOR,1906,Summer,0,5,20,115
SWE,1906,Summer,14,5,2,39
CRT,1906,Summer,0,0,0,0
HUN,1906,Summer,3,5,5,43
CAN,1906,Summer,0,1,1,8
USA,1906,Summer,6,6,12,84
FRA,1906,Summer,28,16,20,176
AUS,1906,Summer,3,0,0,3
BEL,1906,Summer,6,3,2,25
NED,1906,Summer,5,1,0,8
EGY,1906,Summer,0,0,0,0
BOH,1906,Summer,3,0,0,3
SUI,1906,Summer,1,3,8,50
TUR,1906,Summer,0,0,0,0
ITA,1908,Summer,0,6,2,28
GER,1908,Summer,6,11,4,59
GBR,1908,Summer,90,131,147,1218
USA,1908,Summer,15,16,34,233
SWE,1908,Summer,18,18,48,312
DEN,1908,Summer,3,14,0,45
ANZ,1908,Summer,2,2,15,83
FRA,1908,Summer,23,5,12,98
BEL,1908,Summer,8,24,1,85
CAN,1908,Summer,30,8,14,124
NOR,1908,Summer,3,32,7,134
HUN,1908,Summer,6,7,7,62
FIN,1908,Summer,28,1,1,36
GRE,1908,Summer,1,3,0,10
BOH,1908,Summer,6,0,0,6
NED,1908,Summer,16,0,0,16
RSA,1908,Summer,0,1,1,8
RUS,1908,Summer,0,2,1,11
AUT,1908,Summer,1,0,0,1
ISL,1908,Summer,0,0,0,0
ARG,1908,Summer,0,0,0,0
SUI,1908,Summer,0,0,0,0
FIN,1912,Summer,22,40,9,187
NOR,1912,Summer,34,6,40,252
SWE,1912,Summer,25,62,103,726
ANZ,1912,Summer,3,2,5,34
GER,1912,Summer,23,19,11,135
GBR,1912,Summer,59,64,47,486
LUX,1912,Summer,0,0,0,0
FRA,1912,Summer,5,11,10,88
HUN,1912,Summer,3,17,10,104
USA,1912,Summer,36,25,46,341
AUT,1912,Summer,5,9,0,32
RUS,1912,Summer,9,5,0,24
BEL,1912,Summer,11,1,7,49
ITA,1912,Summer,2,1,22,115
CHI,1912,Summer,0,0,0,0
DEN,1912,Summer,33,49,5,205
GRE,1912,Summer,1,0,1,6
BOH,1912,Summer,0,0,0,0
CAN,1912,Summer,3,2,3,24
NED,1912,Summer,26,0,0,26
RSA,1912,Summer,0,2,5,31
POR,1912,Summer,0,0,0,0
SUI,1912,Summer,0,0,2,10
UNK,1912,Summer,0,0,0,0
ISL,1912,Summer,0,0,0,0
JPN,1912,Summer,0,0,0,0
SRB,1912,Summer,0,0,0,0
TUR,1912,Summer,0,0,0,0
POL,1912,Summer,0,0,0,0
DEN,1920,Summer,1,44,26,263
FIN,1920,Summer,17,14,21,164
