Country,Year,Bronze,Silver,Gold,Points
AFG,1936,0,0,0,0
AFG,1948,0,0,0,0
AFG,1956,0,0,0,0
AFG,1960,0,0,0,0
AFG,1964,0,0,0,0
AFG,1968,0,0,0,0
AFG,1972,0,0,0,0
AFG,1980,0,0,0,0
AFG,1988,0,0,0,0
AFG,1996,0,0,0,0
AFG,2004,0,0,0,0
AFG,2008,1,0,0,1
AFG,2012,1,0,0,1
AFG,2016,0,0,0,0
AHO,1952,0,0,0,0
AHO,1960,0,0,0,0
AHO,1964,0,0,0,0
AHO,1968,0,0,0,0
AHO,1972,0,0,0,0
AHO,1976,0,0,0,0
AHO,1984,0,0,0,0
AHO,1988,0,1,0,3
AHO,1992,0,0,0,0
AHO,1996,0,0,0,0
AHO,2000,0,0,0,0
AHO,2004,0,0,0,0
AHO,2008,0,0,0,0
ALB,1972,0,0,0,0
ALB,1992,0,0,0,0
ALB,1996,0,0,0,0
ALB,2000,0,0,0,0
ALB,2004,0,0,0,0
ALB,2008,0,0,0,0
ALB,2012,0,0,0,0
ALB,2016,0,0,0,0
ALG,1964,0,0,0,0
ALG,1968,0,0,0,0
ALG,1972,0,0,0,0
ALG,1980,0,0,0,0
ALG,1984,2,0,0,2
ALG,1988,0,0,0,0
ALG,1992,1,0,1,6
ALG,1996,1,0,2,11
ALG,2000,3,1,1,11
ALG,2004,0,0,0,0
ALG,2008,1,1,0,4
ALG,2012,0,0,1,5
ALG,2016,0,2,0,6
AND,1976,0,0,0,0
AND,1980,0,0,0,0
AND,1984,0,0,0,0
AND,1988,0,0,0,0
AND,1992,0,0,0,0
AND,1996,0,0,0,0
AND,2000,0,0,0,0
AND,2004,0,0,0,0
AND,2008,0,0,0,0
AND,2012,0,0,0,0
AND,2016,0,0,0,0
ANG,1980,0,0,0,0
ANG,1988,0,0,0,0
ANG,1992,0,0,0,0
ANG,1996,0,0,0,0
ANG,2000,0,0,0,0
ANG,2004,0,0,0,0
ANG,2008,0,0,0,0
ANG,2012,0,0,0,0
ANG,2016,0,0,0,0
ANT,1976,0,0,0,0
ANT,1984,0,0,0,0
ANT,1988,0,0,0,0
ANT,1992,0,0,0,0
ANT,1996,0,0,0,0
ANT,2000,0,0,0,0
ANT,2004,0,0,0,0
ANT,2008,0,0,0,0
ANT,2012,0,0,0,0
ANT,2016,0,0,0,0
ANZ,1908,2,2,15,83
ANZ,1912,3,2,5,34
ARG,1900,0,0,0,0
ARG,1908,0,0,0,0
ARG,1920,0,0,0,0
ARG,1924,2,3,5,36
ARG,1928,5,18,3,74
ARG,1932,0,1,3,18
ARG,1936,4,2,5,35
ARG,1948,1,7,3,37
ARG,1952,2,2,2,18
ARG,1956,1,1,0,4
ARG,1960,1,3,0,10
ARG,1964,0,1,0,3
ARG,1968,2,0,0,2
ARG,1972,0,1,0,3
ARG,1976,0,0,0,0
ARG,1984,0,0,0,0
ARG,1988,12,1,0,15
ARG,1992,2,0,0,2
ARG,1996,1,19,0,58
ARG,2000,3,17,0,54
ARG,2004,21,0,28,161
ARG,2008,31,0,20,131
ARG,2012,3,15,1,53
ARG,2016,0,1,21,108
ARM,1996,0,1,1,8
ARM,2000,1,0,0,1
ARM,2004,0,0,0,0
ARM,2008,6,0,0,6
ARM,2012,2,1,0,5
ARM,2016,0,3,1,14
ARU,1988,0,0,0,0
ARU,1992,0,0,0,0
ARU,1996,0,0,0,0
ARU,2000,0,0,0,0
ARU,2004,0,0,0,0
ARU,2008,0,0,0,0
ARU,2012,0,0,0,0
ARU,2016,0,0,0,0
ASA,1988,0,0,0,0
ASA,1992,0,0,0,0
ASA,1996,0,0,0,0
ASA,2000,0,0,0,0
ASA,2004,0,0,0,0
ASA,2008,0,0,0,0
ASA,2012,0,0,0,0
ASA,2016,0,0,0,0
